molecule,dg_mexb,dg_mexr,indice_selectivite
2081,-5.683,-5.897,-0.2140000000000004
2160,-7.297,-7.119,0.17799999999999994
2170,-7.422,-7.261,0.1609999999999996
2771,-6.573,-6.347,0.22599999999999998
2801,-6.266,-6.216,0.04999999999999982
444,-5.623,-5.675,-0.0519999999999996
82148,-6.757,-5.97,0.7869999999999999
